KruskalM,800,25%,43020613259
KruskalM,800,50%,55191461317
KruskalM,800,75%,68037545863
KruskalM,800,99%,74789217128
KruskalM,1000,25%,83186546727
KruskalM,1000,50%,111691106580
KruskalM,1000,75%,135096352912
KruskalM,1000,99%,144891683825
KruskalM,2000,25%,805988986729
KruskalM,2000,50%,1089253123253
KruskalM,2000,75%,1315872680948
KruskalM,2000,99%,1532198462037

primM,10,25%,32849
primM,10,50%,16614
primM,10,75%,29074
primM,10,99%,29074
primM,100,25%,1235066
primM,100,50%,1545060
primM,100,75%,1754617
primM,100,99%,2055172
primM,200,25%,4716360
primM,200,50%,2302109
primM,200,75%,2453141
primM,200,99%,2723867
primM,400,25%,4736749
primM,400,50%,6247449
primM,400,75%,7517630
primM,400,99%,7783070
primM,800,25%,15477029
primM,800,50%,26891670
primM,800,75%,31563474
primM,800,99%,37653850
primM,1000,25%,24522352
primM,1000,50%,43302078
primM,1000,75%,54819042
primM,1000,99%,61711777
primM,2000,25%,107999385
primM,2000,50%,179294159
primM,2000,75%,226787382
primM,2000,99%,182247594
primM,10,25%,38135
primM,10,50%,21523
primM,10,75%,33982
primM,10,99%,34738
primM,100,25%,1394028
primM,100,50%,1786712
primM,100,75%,3227936
primM,100,99%,2422558
primM,200,25%,5842305
primM,200,50%,6565750
primM,200,75%,3659134
primM,200,99%,3753907
primM,400,25%,18043068
primM,400,50%,11063867
primM,400,75%,14275190
primM,400,99%,15892746
primM,800,25%,32321655
primM,800,50%,53919646
primM,800,75%,65848550
primM,800,99%,86310022
primM,1000,25%,45831870
primM,1000,50%,93262413
primM,1000,75%,96586633
primM,1000,99%,129690637
primM,2000,25%,212708533
primM,2000,50%,332572258
primM,2000,75%,523480418
primM,2000,99%,430339585
primM,10,25%,42288
primM,10,50%,31340
primM,10,75%,38135
primM,10,99%,38513
primM,100,25%,1554500
primM,100,50%,2038181
primM,100,75%,3485446
primM,100,99%,2717448
primM,200,25%,6435106
primM,200,50%,8071164
primM,200,75%,5003321
primM,200,99%,5158507
primM,400,25%,20338003
primM,400,50%,16981688
primM,400,75%,20589093
primM,400,99%,28119184
primM,800,25%,46533412
primM,800,50%,74037896
primM,800,75%,96880391
primM,800,99%,141362787
primM,1000,25%,66841588
primM,1000,50%,157665207
primM,1000,75%,169077959
primM,1000,99%,191776974
primM,2000,25%,303018644
primM,2000,50%,522683724
primM,2000,75%,733055787
primM,2000,99%,665597611
primM,10,25%,46064
primM,10,50%,35116
primM,10,75%,41911
primM,10,99%,42667
primM,100,25%,1769721
primM,100,50%,2388954
primM,100,75%,3805634
primM,100,99%,3113530
primM,200,25%,6884427
primM,200,50%,9486336
primM,200,75%,6042801
primM,200,99%,6848558
primM,400,25%,23353740
primM,400,50%,22989373
primM,400,75%,26580165
primM,400,99%,36964010
primM,800,25%,60841830
primM,800,50%,95096322
primM,800,75%,134716990
primM,800,99%,190913070
primM,1000,25%,87831294
primM,1000,50%,197089910
primM,1000,75%,217208160
primM,1000,99%,250710891
primM,2000,25%,413673932
primM,2000,50%,630857551
primM,2000,75%,956921828
primM,2000,99%,912333332

dijkstraList,10,25%,257510
dijkstraList,10,50%,162737
dijkstraList,10,75%,181238
dijkstraList,10,99%,248448
dijkstraList,100,25%,8586938
dijkstraList,100,50%,2153342
dijkstraList,100,75%,2883206
dijkstraList,100,99%,3065577
dijkstraList,200,25%,3698025
dijkstraList,200,50%,5685987
dijkstraList,200,75%,6947861
dijkstraList,200,99%,5807945
dijkstraList,400,25%,7931459
dijkstraList,400,50%,9822005
dijkstraList,400,75%,14539120
dijkstraList,400,99%,16712851
dijkstraList,800,25%,26104414
dijkstraList,800,50%,78355908
dijkstraList,800,75%,67478188
dijkstraList,800,99%,104014022
dijkstraList,1000,25%,49797220
dijkstraList,1000,50%,157604040
dijkstraList,1000,75%,130661774
dijkstraList,1000,99%,199899110
dijkstraList,2000,25%,383156733
dijkstraList,2000,50%,747045149
dijkstraList,2000,75%,963812295
dijkstraList,2000,99%,1314673047
dijkstraList,10,25%,15858
dijkstraList,10,50%,6419
dijkstraList,10,75%,6797
dijkstraList,10,99%,6797
dijkstraList,100,25%,208047
dijkstraList,100,50%,201250
dijkstraList,100,75%,244672
dijkstraList,100,99%,311504
dijkstraList,200,25%,404011
dijkstraList,200,50%,767622
dijkstraList,200,75%,1445756
dijkstraList,200,99%,2489011
